"id","region","provincia","comuna","cut","explotacionesexplotacionesagropecuariascon_tierra_1numero","superficie_ha","uso_del_suelo_hasuelos_de_cultivototal","cultivos_anualesy_permanentes_2","forrajeras_permanentesy_de_rotacion","en_barbechoy_descanso","otros_suelostotal","praderasmejoradas","naturales","plantacionesforestales_3","bosquenativo","matorrales","infraestructuraconstrucciones_caminos_embalses_etc_no_incluye_i","terrenos_esteriles","ano","fuente"
1,"Los Lagos","Llanquihue","Puerto Montt",10101,"1933","68070.68","1552.7","1083.4","397.7","71.6","66517.98","7876.6","14534.03","850.5","30871.1","7840.6","636.95","3908.2","2007","Censo agropecuario, INE (2007)"
2,"Los Lagos","Llanquihue","Calbuco",10102,"3716","39531.6","2590.67","2067.37","494.2","29.1","36940.93","2673.59","14858.64","473.5","10927.6","5102.9","393.3","2511.4","2007","Censo agropecuario, INE (2007)"
3,"Los Lagos","Llanquihue","Cochamó",10103,"608","287841.6","398.1","277.9","117.8","2.4","287443.5","828.5","21895.8","157.6","165556.5","27665.7","168.6","71170.8","2007","Censo agropecuario, INE (2007)"
4,"Los Lagos","Llanquihue","Fresia",10104,"1058","64609.42","2967.85","2194.25","665.1","108.5","61641.57","18342.6","21106.57","750.6","13500","4862.3","515.1","2564.4","2007","Censo agropecuario, INE (2007)"
5,"Los Lagos","Llanquihue","Frutillar",10105,"439","55968.8","8346.3","3154.5","5159.2","32.6","47622.5","25972.7","10043.2","1217.5","4935.4","2065.7","1058.8","2329.2","2007","Censo agropecuario, INE (2007)"
6,"Los Lagos","Llanquihue","Los Muermos",10106,"1767","91786.4","7354.2","3667.4","3665.2","21.6","84432.2","33100.5","14267.2","1030.4","23736.4","6702.6","987.1","4608","2007","Censo agropecuario, INE (2007)"
7,"Los Lagos","Llanquihue","Llanquihue",10107,"279","33166.1","5349.6","1946.2","3370.4","33","27816.5","18303.2","2239.2","335.1","3590.7","1629.9","572.7","1145.7","2007","Censo agropecuario, INE (2007)"
8,"Los Lagos","Llanquihue","Maullín",10108,"1382","56400.1","1922.7","1241.6","633.9","47.2","54477.4","9003.6","16063.3","2025.6","13313.1","7765","455.3","5851.5","2007","Censo agropecuario, INE (2007)"
9,"Los Lagos","Llanquihue","Puerto Varas",10109,"557","64300.04","3999.04","1883.64","2055.9","59.5","60301","19263","7718.8","639.5","20574.1","9028.4","825.9","2251.3","2007","Censo agropecuario, INE (2007)"
10,"Los Lagos","Chiloé","Castro",10201,"1854","25544.18","1303.7","765.1","463.4","75.2","24240.48","12880.1","1514.8","127","4460.7","4546.48","69","642.4","2007","Censo agropecuario, INE (2007)"
11,"Los Lagos","Chiloé","Ancud",10202,"2618","103081","2020.5","1262","699.6","58.9","101060.5","15579.6","25963.7","1728.7","32469.4","17878.1","669.7","6771.3","2007","Censo agropecuario, INE (2007)"
12,"Los Lagos","Chiloé","Chonchi",10203,"1416","39965","2204.6","800.9","1395.3","8.4","37760.4","6959.9","8519.2","194.5","14940.3","4131.1","227.6","2787.8","2007","Censo agropecuario, INE (2007)"
