"id","region","provincia","comuna","cut","variable","valor","ano","fuente"
1,"Los Lagos","Llanquihue","Puerto Montt","10101","Número personas por hogar (promedio)","2.2",NULL,"ADIS"
2,"Los Lagos","Llanquihue","Calbuco","10102","Número personas por hogar (promedio)","2.5",NULL,"ADIS"
3,"Los Lagos","Llanquihue","Cochamó","10103","Número personas por hogar (promedio)","1.9",NULL,"ADIS"
4,"Los Lagos","Llanquihue","Fresia","10104","Número personas por hogar (promedio)","2.4",NULL,"ADIS"
5,"Los Lagos","Llanquihue","Frutillar","10105","Número personas por hogar (promedio)","2.1",NULL,"ADIS"
6,"Los Lagos","Llanquihue","Los Muermos","10106","Número personas por hogar (promedio)","2.3",NULL,"ADIS"
7,"Los Lagos","Llanquihue","Llanquihue","10107","Número personas por hogar (promedio)","2.2",NULL,"ADIS"
8,"Los Lagos","Llanquihue","Maullín","10108","Número personas por hogar (promedio)","1.9",NULL,"ADIS"
9,"Los Lagos","Llanquihue","Puerto Varas","10109","Número personas por hogar (promedio)","2.1",NULL,"ADIS"
10,"Los Lagos","Chiloé","Castro","10201","Número personas por hogar (promedio)","2.3",NULL,"ADIS"
11,"Los Lagos","Chiloé","Ancud","10202","Número personas por hogar (promedio)","2.2",NULL,"ADIS"
12,"Los Lagos","Chiloé","Chonchi","10203","Número personas por hogar (promedio)","2.3",NULL,"ADIS"
13,"Los Lagos","Chiloé","Curaco de Vélez","10204","Número personas por hogar (promedio)","2.3",NULL,"ADIS"
14,"Los Lagos","Chiloé","Dalcahue","10205","Número personas por hogar (promedio)","2.2",NULL,"ADIS"
15,"Los Lagos","Chiloé","Chiloé","10206","Número personas por hogar (promedio)","2.4",NULL,"ADIS"
16,"Los Lagos","Chiloé","Queilén","10207","Número personas por hogar (promedio)","2.1",NULL,"ADIS"
17,"Los Lagos","Chiloé","Quellón","10208","Número personas por hogar (promedio)","2.3",NULL,"ADIS"
18,"Los Lagos","Chiloé","Quemchi","10209","Número personas por hogar (promedio)","2.2",NULL,"ADIS"
19,"Los Lagos","Chiloé","Quinchao","10210","Número personas por hogar (promedio)","2.5",NULL,"ADIS"
20,"Los Lagos","Osorno","Osorno","10301","Número personas por hogar (promedio)","2.3",NULL,"ADIS"
21,"Los Lagos","Osorno","Puerto Octay","10302","Número personas por hogar (promedio)","2.2",NULL,"ADIS"
22,"Los Lagos","Osorno","Purranque","10303","Número personas por hogar (promedio)","2.3",NULL,"ADIS"
23,"Los Lagos","Osorno","Puyehue","10304","Número personas por hogar (promedio)","2.5",NULL,"ADIS"
24,"Los Lagos","Osorno","Río Negro","10305","Número personas por hogar (promedio)","2.1",NULL,"ADIS"
25,"Los Lagos","Osorno","San Juan de la Costa","10306","Número personas por hogar (promedio)","2.3",NULL,"ADIS"
26,"Los Lagos","Osorno","San Pablo","10307","Número personas por hogar (promedio)","2.3",NULL,"ADIS"
27,"Los Lagos","Palena","Chaitén","10401","Número personas por hogar (promedio)","2.3",NULL,"ADIS"
28,"Los Lagos","Palena","Futaleufú","10402","Número personas por hogar (promedio)","2.3",NULL,"ADIS"
29,"Los Lagos","Palena","Hualaihué","10403","Número personas por hogar (promedio)","2.2",NULL,"ADIS"
30,"Los Lagos","Palena","Palena","10404","Número personas por hogar (promedio)","2.2",NULL,"ADIS"
31,"Los Lagos","Llanquihue","Puerto Montt","10101","N° de hogares con jefatura de hogar adulto mayor","21260",NULL,"ADIS"
32,"Los Lagos","Llanquihue","Calbuco","10102","N° de hogares con jefatura de hogar adulto mayor","4538",NULL,"ADIS"
33,"Los Lagos","Llanquihue","Cochamó","10103","N° de hogares con jefatura de hogar adulto mayor","773",NULL,"ADIS"
34,"Los Lagos","Llanquihue","Fresia","10104","N° de hogares con jefatura de hogar adulto mayor","1862",NULL,"ADIS"
35,"Los Lagos","Llanquihue","Frutillar","10105","N° de hogares con jefatura de hogar adulto mayor","2420",NULL,"ADIS"
36,"Los Lagos","Llanquihue","Los Muermos","10106","N° de hogares con jefatura de hogar adulto mayor","2631",NULL,"ADIS"
37,"Los Lagos","Llanquihue","Llanquihue","10107","N° de hogares con jefatura de hogar adulto mayor","2210",NULL,"ADIS"
38,"Los Lagos","Llanquihue","Maullín","10108","N° de hogares con jefatura de hogar adulto mayor","2605",NULL,"ADIS"
39,"Los Lagos","Llanquihue","Puerto Varas","10109","N° de hogares con jefatura de hogar adulto mayor","4295",NULL,"ADIS"
40,"Los Lagos","Chiloé","Castro","10201","N° de hogares con jefatura de hogar adulto mayor","4829",NULL,"ADIS"
41,"Los Lagos","Chiloé","Ancud","10202","N° de hogares con jefatura de hogar adulto mayor","5741",NULL,"ADIS"
42,"Los Lagos","Chiloé","Chonchi","10203","N° de hogares con jefatura de hogar adulto mayor","1789",NULL,"ADIS"
43,"Los Lagos","Chiloé","Curaco de Vélez","10204","N° de hogares con jefatura de hogar adulto mayor","553",NULL,"ADIS"
44,"Los Lagos","Chiloé","Dalcahue","10205","N° de hogares con jefatura de hogar adulto mayor","1667",NULL,"ADIS"
45,"Los Lagos","Chiloé","Chiloé","10206","N° de hogares con jefatura de hogar adulto mayor","607",NULL,"ADIS"
46,"Los Lagos","Chiloé","Queilén","10207","N° de hogares con jefatura de hogar adulto mayor","766",NULL,"ADIS"
47,"Los Lagos","Chiloé","Quellón","10208","N° de hogares con jefatura de hogar adulto mayor","2360",NULL,"ADIS"
48,"Los Lagos","Chiloé","Quemchi","10209","N° de hogares con jefatura de hogar adulto mayor","1337",NULL,"ADIS"
49,"Los Lagos","Chiloé","Quinchao","10210","N° de hogares con jefatura de hogar adulto mayor","1145",NULL,"ADIS"
50,"Los Lagos","Osorno","Osorno","10301","N° de hogares con jefatura de hogar adulto mayor","18241",NULL,"ADIS"
51,"Los Lagos","Osorno","Puerto Octay","10302","N° de hogares con jefatura de hogar adulto mayor","1217",NULL,"ADIS"
52,"Los Lagos","Osorno","Purranque","10303","N° de hogares con jefatura de hogar adulto mayor","3120",NULL,"ADIS"
53,"Los Lagos","Osorno","Puyehue","10304","N° de hogares con jefatura de hogar adulto mayor","1602",NULL,"ADIS"
54,"Los Lagos","Osorno","Río Negro","10305","N° de hogares con jefatura de hogar adulto mayor","2311",NULL,"ADIS"
55,"Los Lagos","Osorno","San Juan de la Costa","10306","N° de hogares con jefatura de hogar adulto mayor","1536",NULL,"ADIS"
56,"Los Lagos","Osorno","San Pablo","10307","N° de hogares con jefatura de hogar adulto mayor","1731",NULL,"ADIS"
57,"Los Lagos","Palena","Chaitén","10401","N° de hogares con jefatura de hogar adulto mayor","598",NULL,"ADIS"
58,"Los Lagos","Palena","Futaleufú","10402","N° de hogares con jefatura de hogar adulto mayor","348",NULL,"ADIS"
59,"Los Lagos","Palena","Hualaihué","10403","N° de hogares con jefatura de hogar adulto mayor","1239",NULL,"ADIS"
60,"Los Lagos","Palena","Palena","10404","N° de hogares con jefatura de hogar adulto mayor","285",NULL,"ADIS"
61,"Los Lagos","Llanquihue","Puerto Montt","10101","N° de hogares unipersonales","35391",NULL,"ADIS"
62,"Los Lagos","Llanquihue","Calbuco","10102","N° de hogares unipersonales","3974",NULL,"ADIS"
63,"Los Lagos","Llanquihue","Cochamó","10103","N° de hogares unipersonales","1035",NULL,"ADIS"
64,"Los Lagos","Llanquihue","Fresia","10104","N° de hogares unipersonales","1442",NULL,"ADIS"
65,"Los Lagos","Llanquihue","Frutillar","10105","N° de hogares unipersonales","3587",NULL,"ADIS"
66,"Los Lagos","Llanquihue","Los Muermos","10106","N° de hogares unipersonales","2500",NULL,"ADIS"
67,"Los Lagos","Llanquihue","Llanquihue","10107","N° de hogares unipersonales","2843",NULL,"ADIS"
68,"Los Lagos","Llanquihue","Maullín","10108","N° de hogares unipersonales","3538",NULL,"ADIS"
69,"Los Lagos","Llanquihue","Puerto Varas","10109","N° de hogares unipersonales","6948",NULL,"ADIS"
70,"Los Lagos","Chiloé","Castro","10201","N° de hogares unipersonales","6259",NULL,"ADIS"
71,"Los Lagos","Chiloé","Ancud","10202","N° de hogares unipersonales","7254",NULL,"ADIS"
72,"Los Lagos","Chiloé","Chonchi","10203","N° de hogares unipersonales","2098",NULL,"ADIS"
73,"Los Lagos","Chiloé","Curaco de Vélez","10204","N° de hogares unipersonales","518",NULL,"ADIS"
74,"Los Lagos","Chiloé","Dalcahue","10205","N° de hogares unipersonales","2534",NULL,"ADIS"
75,"Los Lagos","Chiloé","Chiloé","10206","N° de hogares unipersonales","460",NULL,"ADIS"
76,"Los Lagos","Chiloé","Queilén","10207","N° de hogares unipersonales","1038",NULL,"ADIS"
77,"Los Lagos","Chiloé","Quellón","10208","N° de hogares unipersonales","3884",NULL,"ADIS"
78,"Los Lagos","Chiloé","Quemchi","10209","N° de hogares unipersonales","1478",NULL,"ADIS"
79,"Los Lagos","Chiloé","Quinchao","10210","N° de hogares unipersonales","921",NULL,"ADIS"
80,"Los Lagos","Osorno","Osorno","10301","N° de hogares unipersonales","19713",NULL,"ADIS"
81,"Los Lagos","Osorno","Puerto Octay","10302","N° de hogares unipersonales","1337",NULL,"ADIS"
82,"Los Lagos","Osorno","Purranque","10303","N° de hogares unipersonales","3004",NULL,"ADIS"
