"id","region","provincia","comuna","cut","variable","valor","ano","fuente"
1,"Los Lagos","Llanquihue","Puerto Montt","10101","N° de niños, niñas y adolescentes (menores de 18 años)","54671",NULL,"ADIS"
2,"Los Lagos","Llanquihue","Calbuco","10102","N° de niños, niñas y adolescentes (menores de 18 años)","8262",NULL,"ADIS"
3,"Los Lagos","Llanquihue","Cochamó","10103","N° de niños, niñas y adolescentes (menores de 18 años)","873",NULL,"ADIS"
4,"Los Lagos","Llanquihue","Fresia","10104","N° de niños, niñas y adolescentes (menores de 18 años)","2577",NULL,"ADIS"
5,"Los Lagos","Llanquihue","Frutillar","10105","N° de niños, niñas y adolescentes (menores de 18 años)","4552",NULL,"ADIS"
6,"Los Lagos","Llanquihue","Los Muermos","10106","N° de niños, niñas y adolescentes (menores de 18 años)","3840",NULL,"ADIS"
7,"Los Lagos","Llanquihue","Llanquihue","10107","N° de niños, niñas y adolescentes (menores de 18 años)","3914",NULL,"ADIS"
8,"Los Lagos","Llanquihue","Maullín","10108","N° de niños, niñas y adolescentes (menores de 18 años)","3130",NULL,"ADIS"
9,"Los Lagos","Llanquihue","Puerto Varas","10109","N° de niños, niñas y adolescentes (menores de 18 años)","8530",NULL,"ADIS"
10,"Los Lagos","Chiloé","Castro","10201","N° de niños, niñas y adolescentes (menores de 18 años)","9997",NULL,"ADIS"
11,"Los Lagos","Chiloé","Ancud","10202","N° de niños, niñas y adolescentes (menores de 18 años)","9199",NULL,"ADIS"
12,"Los Lagos","Chiloé","Chonchi","10203","N° de niños, niñas y adolescentes (menores de 18 años)","3220",NULL,"ADIS"
13,"Los Lagos","Chiloé","Curaco de Vélez","10204","N° de niños, niñas y adolescentes (menores de 18 años)","802",NULL,"ADIS"
14,"Los Lagos","Chiloé","Dalcahue","10205","N° de niños, niñas y adolescentes (menores de 18 años)","3603",NULL,"ADIS"
15,"Los Lagos","Chiloé","Chiloé","10206","N° de niños, niñas y adolescentes (menores de 18 años)","794",NULL,"ADIS"
16,"Los Lagos","Chiloé","Queilén","10207","N° de niños, niñas y adolescentes (menores de 18 años)","1268",NULL,"ADIS"
17,"Los Lagos","Chiloé","Quellón","10208","N° de niños, niñas y adolescentes (menores de 18 años)","7079",NULL,"ADIS"
18,"Los Lagos","Chiloé","Quemchi","10209","N° de niños, niñas y adolescentes (menores de 18 años)","1806",NULL,"ADIS"
19,"Los Lagos","Chiloé","Quinchao","10210","N° de niños, niñas y adolescentes (menores de 18 años)","1631",NULL,"ADIS"
20,"Los Lagos","Osorno","Osorno","10301","N° de niños, niñas y adolescentes (menores de 18 años)","32003",NULL,"ADIS"
21,"Los Lagos","Osorno","Puerto Octay","10302","N° de niños, niñas y adolescentes (menores de 18 años)","2037",NULL,"ADIS"
22,"Los Lagos","Osorno","Purranque","10303","N° de niños, niñas y adolescentes (menores de 18 años)","4481",NULL,"ADIS"
23,"Los Lagos","Osorno","Puyehue","10304","N° de niños, niñas y adolescentes (menores de 18 años)","2322",NULL,"ADIS"
24,"Los Lagos","Osorno","Río Negro","10305","N° de niños, niñas y adolescentes (menores de 18 años)","3196",NULL,"ADIS"
